date,state,value
2020-07-06,New England,2.332128099173554
2020-07-06,New York State,2.4320764462809916
2020-07-06,New York City,2.365444214876033
2020-07-13,Central Atlantic,2.4987086776859506
2020-07-13,New England,2.34323347107438
2020-07-13,New York State,2.4431818181818183
2020-07-13,New York City,2.365444214876033
2020-07-20,Central Atlantic,2.4987086776859506
2020-07-20,New England,2.354338842975207
2020-07-20,New York State,2.4431818181818183
2020-07-20,New York City,2.354338842975207
2020-07-27,Central Atlantic,2.4987086776859506
2020-07-27,New England,2.354338842975207
2020-07-27,New York State,2.4320764462809916
2020-07-27,New York City,2.354338842975207
2020-08-03,Central Atlantic,2.4888844989734653
2020-08-03,New England,2.3555514008141727
2020-08-03,New York State,2.433329041407093
2020-08-03,New York City,2.333329217787624
2020-08-10,Central Atlantic,2.4888844989734653
2020-08-10,New England,2.3555514008141727
2020-08-10,New York State,2.422217949893819
2020-08-10,New York City,2.333329217787624
2020-08-17,Central Atlantic,2.477773407460191
2020-08-17,New England,2.3555514008141727
2020-08-17,New York State,2.411106858380544
2020-08-17,New York City,2.322218126274349
2020-08-24,Central Atlantic,2.477773407460191
2020-08-24,New England,2.3555514008141727
2020-08-24,New York State,2.3999957668672702
2020-08-24,New York City,2.333329217787624
2020-08-31,Central Atlantic,2.5777732310796604
2020-08-31,New England,2.3999957668672702
2020-08-31,New York State,2.477773407460191
2020-08-31,New York City,2.433329041407093
2020-09-07,Central Atlantic,2.5569836338652827
2020-09-07,New England,2.379876542342146
2020-09-07,New York State,2.4684300881037147
2020-09-07,New York City,2.4020149287825383
2020-09-14,Central Atlantic,2.534845247424891
2020-09-14,New England,2.357738155901754
2020-09-14,New York State,2.4352225084431267
2020-09-14,New York City,2.357738155901754
2020-09-21,Central Atlantic,2.5016376677643026
2020-09-21,New England,2.3466689626815582
2020-09-21,New York State,2.4130841220027346
2020-09-21,New York City,2.335599769461362
2020-09-28,Central Atlantic,2.5016376677643026
2020-09-28,New England,2.335599769461362
2020-09-28,New York State,2.4020149287825383
2020-09-28,New York City,2.3134613830209703
2020-10-05,Central Atlantic,2.516509691293498
2020-10-05,New England,2.3280486130909015
2020-10-05,New York State,2.394564287750642
2020-10-05,New York City,2.3502205046441484
2020-10-12,Central Atlantic,2.538681582846745
2020-10-12,New England,2.3391345588675247
2020-10-12,New York State,2.394564287750642
2020-10-12,New York City,2.3613064504207713
2020-10-19,Central Atlantic,2.5275956370701214
2020-10-19,New England,2.3280486130909015
2020-10-19,New York State,2.4056502335272647
2020-10-19,New York City,2.3613064504207713
