date,countyfips,value,county,state
2020-07-08,34003,6.7299999999999995,Bergen,NJ
2020-07-08,34017,-5.27,Hudson,NJ
2020-07-08,34025,14.000000000000002,Monmouth,NJ
2020-07-08,34027,1.25,Morris,NJ
2020-07-08,36059,-2.25,Nassau,NY
2020-07-08,36103,9.89,Suffolk,NY
2020-07-08,36119,-11.1,Westchester,NY
2020-07-09,09001,-7.88,Fairfield,CT
2020-07-09,09003,-2.4899999999999998,Hartford,CT
2020-07-09,09005,5.9799999999999995,Litchfield,CT
2020-07-09,09009,2.07,New Haven,CT
2020-07-09,34003,6.11,Bergen,NJ
2020-07-09,34017,-6.2700000000000005,Hudson,NJ
2020-07-09,34025,14.099999999999998,Monmouth,NJ
2020-07-09,34027,0.583,Morris,NJ
2020-07-09,36059,-1.78,Nassau,NY
2020-07-09,36103,8.63,Suffolk,NY
2020-07-09,36119,-11.200000000000001,Westchester,NY
2020-07-10,09001,-8.72,Fairfield,CT
2020-07-10,09003,-2.5,Hartford,CT
2020-07-10,09005,8.07,Litchfield,CT
2020-07-10,09009,3.11,New Haven,CT
2020-07-10,34003,4.75,Bergen,NJ
2020-07-10,34017,-6.23,Hudson,NJ
2020-07-10,34025,11.1,Monmouth,NJ
2020-07-10,34027,-1.7500000000000002,Morris,NJ
2020-07-10,36059,-3.05,Nassau,NY
2020-07-10,36103,6.950000000000001,Suffolk,NY
2020-07-10,36119,-12.8,Westchester,NY
2020-07-11,09001,-7.359999999999999,Fairfield,CT
2020-07-11,09003,-5.12,Hartford,CT
2020-07-11,09005,10.4,Litchfield,CT
2020-07-11,09009,3.83,New Haven,CT
2020-07-11,34003,4.81,Bergen,NJ
2020-07-11,34017,-6.78,Hudson,NJ
2020-07-11,34025,11.4,Monmouth,NJ
2020-07-11,34027,-0.853,Morris,NJ
2020-07-11,36059,-2.94,Nassau,NY
2020-07-11,36103,7.1,Suffolk,NY
2020-07-11,36119,-11.799999999999999,Westchester,NY
2020-07-12,09001,-6.12,Fairfield,CT
2020-07-12,09003,-4.45,Hartford,CT
2020-07-12,09005,14.2,Litchfield,CT
2020-07-12,09009,5.27,New Haven,CT
2020-07-12,34003,5,Bergen,NJ
2020-07-12,34017,-4.67,Hudson,NJ
2020-07-12,34025,10.100000000000001,Monmouth,NJ
2020-07-12,34027,0.199,Morris,NJ
2020-07-12,36059,-2.98,Nassau,NY
2020-07-12,36103,8.07,Suffolk,NY
2020-07-12,36119,-11.5,Westchester,NY
2020-07-13,09001,-6.41,Fairfield,CT
2020-07-13,09003,-2.97,Hartford,CT
2020-07-13,09005,14.7,Litchfield,CT
2020-07-13,09009,3.93,New Haven,CT
2020-07-13,34003,5.9799999999999995,Bergen,NJ
2020-07-13,34017,-5.48,Hudson,NJ
2020-07-13,34025,10.7,Monmouth,NJ
2020-07-13,34027,1.5,Morris,NJ
2020-07-13,36059,-1.43,Nassau,NY
2020-07-13,36103,7.89,Suffolk,NY
2020-07-13,36119,-10.6,Westchester,NY
2020-07-14,09001,-4.61,Fairfield,CT
2020-07-14,09003,-3.34,Hartford,CT
2020-07-14,09005,14.2,Litchfield,CT
2020-07-14,09009,5.029999999999999,New Haven,CT
2020-07-14,34003,7.64,Bergen,NJ
2020-07-14,34017,-3.49,Hudson,NJ
2020-07-14,34025,10.5,Monmouth,NJ
2020-07-14,34027,4.97,Morris,NJ
2020-07-14,36059,-1.09,Nassau,NY
2020-07-14,36103,8.260000000000002,Suffolk,NY
2020-07-14,36119,-8.85,Westchester,NY
2020-07-15,09001,-3.37,Fairfield,CT
2020-07-15,09003,-1.11,Hartford,CT
2020-07-15,09005,18.099999999999998,Litchfield,CT
2020-07-15,09009,8.75,New Haven,CT
2020-07-15,34003,9.2,Bergen,NJ
2020-07-15,34017,-0.868,Hudson,NJ
2020-07-15,34025,11.3,Monmouth,NJ
2020-07-15,34027,7.59,Morris,NJ
2020-07-15,36059,-0.619,Nassau,NY
2020-07-15,36103,9.19,Suffolk,NY
2020-07-15,36119,-6.4399999999999995,Westchester,NY
2020-07-16,09001,-2.59,Fairfield,CT
2020-07-16,09003,-3.1,Hartford,CT
2020-07-16,09005,18,Litchfield,CT
2020-07-16,09009,8.129999999999999,New Haven,CT
2020-07-16,34003,8.72,Bergen,NJ
2020-07-16,34017,-0.0145,Hudson,NJ
2020-07-16,34025,12.6,Monmouth,NJ
2020-07-16,34027,8.59,Morris,NJ
2020-07-16,36059,-1.47,Nassau,NY
2020-07-16,36103,10.299999999999999,Suffolk,NY
2020-07-16,36119,-4.29,Westchester,NY
2020-07-17,09001,-1.6400000000000001,Fairfield,CT
2020-07-17,09003,-2.22,Hartford,CT
2020-07-17,09005,20.599999999999998,Litchfield,CT
2020-07-17,09009,8.129999999999999,New Haven,CT
2020-07-17,34003,9.35,Bergen,NJ
2020-07-17,34017,1.29,Hudson,NJ
2020-07-17,34025,15.9,Monmouth,NJ
2020-07-17,34027,11.799999999999999,Morris,NJ
2020-07-17,36059,0.0807,Nassau,NY
2020-07-17,36103,12.5,Suffolk,NY
2020-07-17,36119,-2.35,Westchester,NY
2020-07-18,09001,-3.19,Fairfield,CT
2020-07-18,09003,1.01,Hartford,CT
2020-07-18,09005,20.3,Litchfield,CT
2020-07-18,09009,5.779999999999999,New Haven,CT
2020-07-18,34003,9.54,Bergen,NJ
2020-07-18,34017,0.779,Hudson,NJ
2020-07-18,34025,14.000000000000002,Monmouth,NJ
2020-07-18,34027,10.5,Morris,NJ
2020-07-18,36059,-1.46,Nassau,NY
2020-07-18,36103,11.4,Suffolk,NY
2020-07-18,36119,-1.13,Westchester,NY
2020-07-19,09001,-3.34,Fairfield,CT
2020-07-19,09003,-1.2,Hartford,CT
2020-07-19,09005,21,Litchfield,CT
2020-07-19,09009,5.17,New Haven,CT
2020-07-19,34003,9.62,Bergen,NJ
2020-07-19,34017,1.9,Hudson,NJ
2020-07-19,34025,15.6,Monmouth,NJ
2020-07-19,34027,8.63,Morris,NJ
2020-07-19,36059,-0.872,Nassau,NY
2020-07-19,36103,10.7,Suffolk,NY
2020-07-19,36119,-0.985,Westchester,NY
2020-07-20,09001,-3.8699999999999997,Fairfield,CT
2020-07-20,09003,-2.06,Hartford,CT
2020-07-20,09005,23.200000000000003,Litchfield,CT
2020-07-20,09009,5.800000000000001,New Haven,CT
2020-07-20,34003,8.72,Bergen,NJ
2020-07-20,34017,4.5,Hudson,NJ
2020-07-20,34025,14.6,Monmouth,NJ
2020-07-20,34027,8.85,Morris,NJ
2020-07-20,36059,-2.73,Nassau,NY
2020-07-20,36103,9.520000000000001,Suffolk,NY
2020-07-20,36119,-1.78,Westchester,NY
2020-07-21,09001,-4.83,Fairfield,CT
2020-07-21,09003,-2.87,Hartford,CT
2020-07-21,09005,25.3,Litchfield,CT
2020-07-21,09009,6.02,New Haven,CT
2020-07-21,34003,6.29,Bergen,NJ
2020-07-21,34017,1.68,Hudson,NJ
2020-07-21,34025,13.700000000000001,Monmouth,NJ
2020-07-21,34027,7.31,Morris,NJ
2020-07-21,36059,-2.9499999999999997,Nassau,NY
2020-07-21,36103,7.75,Suffolk,NY
2020-07-21,36119,-4.68,Westchester,NY
2020-07-22,09001,-4.89,Fairfield,CT
2020-07-22,09003,-2.02,Hartford,CT
2020-07-22,09005,27.6,Litchfield,CT
2020-07-22,09009,3.9800000000000004,New Haven,CT
2020-07-22,34003,5.36,Bergen,NJ
2020-07-22,34017,0.819,Hudson,NJ
2020-07-22,34025,13.100000000000001,Monmouth,NJ
2020-07-22,34027,4.46,Morris,NJ
2020-07-22,36059,-3.1,Nassau,NY
2020-07-22,36103,7.46,Suffolk,NY
2020-07-22,36119,-6.49,Westchester,NY
2020-07-23,09001,-5.55,Fairfield,CT
2020-07-23,09003,-0.394,Hartford,CT
2020-07-23,09005,31.5,Litchfield,CT
2020-07-23,09009,3.02,New Haven,CT
2020-07-23,34003,5.83,Bergen,NJ
2020-07-23,34017,3.05,Hudson,NJ
2020-07-23,34025,12.4,Monmouth,NJ
2020-07-23,34027,4.7,Morris,NJ
2020-07-23,36059,-2.77,Nassau,NY
2020-07-23,36103,6.99,Suffolk,NY
2020-07-23,36119,-8.76,Westchester,NY
2020-07-24,09001,-4.95,Fairfield,CT
